,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,HEAD_2_HEAD_HOME_TEAM_WINS,HEAD_2_HEAD_HOME_TEAM_LOSS,HEAD_2_HEAD_DRAW,HOME_WIN_RATE,HOME_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE,AWAY_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE_AT_THIS_GROUND
5411,1019985,4087,9874,2011/2012,2012-03-10,AWAY_WIN,67.5,68.0,68.66666667,68.5,74.0,71.0,0.0,0.0,1.0,0.583333333333,0.583333333333,0.147058823529,0.0769230769231,
5412,1019989,9748,8639,2011/2012,2012-03-10,HOME_WIN,76.0,78.0,73.5,75.0,80.0,86.0,0.142857142857,0.428571428571,0.428571428571,0.590909090909,0.666666666667,0.378787878788,0.461538461538,0.0
5413,1019992,10249,7819,2011/2012,2012-03-11,HOME_WIN,68.0,77.5,67.5,76.33333333,76.0,75.0,0.333333333333,0.333333333333,0.333333333333,0.591836734694,0.846153846154,0.212765957447,0.272727272727,0.0
5414,1019994,9831,8481,2011/2012,2012-03-10,DRAW,68.5,69.0,71.25,70.5,72.0,77.0,0.285714285714,0.571428571429,0.142857142857,0.415384615385,0.384615384615,0.283582089552,0.25,0.333333333333
5415,1019996,9851,8583,2011/2012,2012-03-11,DRAW,72.0,76.5,69.25,71.25,74.0,76.0,0.285714285714,0.428571428571,0.285714285714,0.538461538462,0.416666666667,0.30303030303,0.0,0.333333333333
5416,1020000,9941,8689,2011/2012,2012-03-10,DRAW,66.0,75.0,71.5,73.8,75.0,73.0,0.166666666667,0.166666666667,0.666666666667,0.45,0.583333333333,0.212121212121,0.0769230769231,0.333333333333
5417,1020002,9873,9853,2011/2012,2012-03-10,AWAY_WIN,72.5,72.0,69.5,70.25,79.0,75.0,0.428571428571,0.285714285714,0.285714285714,0.47619047619,0.583333333333,0.25,0.384615384615,0.0
5418,1020008,8583,4087,2011/2012,2012-03-17,AWAY_WIN,65.0,70.0,68.5,72.0,71.0,74.0,0.0,1.0,0.0,0.417910447761,0.307692307692,0.0714285714286,0.0714285714286,
5419,1020010,9827,8576,2011/2012,2012-03-17,DRAW,70.5,0.0,66.5,73.0,77.0,80.0,1.0,0.0,0.0,0.557142857143,0.428571428571,0.153846153846,0.153846153846,
5420,1020011,7819,9847,2011/2012,2012-03-17,DRAW,77.66666667,68.0,79.0,67.5,83.0,76.0,0.0,1.0,0.0,0.3125,0.363636363636,0.328358208955,0.538461538462,1.0
5421,1020014,8639,9873,2011/2012,2012-03-18,HOME_WIN,72.0,77.0,70.4,73.5,67.5,80.0,0.428571428571,0.285714285714,0.285714285714,0.652173913043,0.461538461538,0.15873015873,0.0714285714286,0.0
5422,1020016,8689,8521,2011/2012,2012-03-17,HOME_WIN,67.0,69.5,70.33333333,72.2,76.0,75.0,0.333333333333,0.333333333333,0.333333333333,0.378787878788,0.384615384615,0.161290322581,0.0,0.0
