match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating
1228236,8659,8650,2012/2013,8/18/12 0:00,HOME_WIN,81.5,76.5,79.8,71.75,83,78
1228237,8654,10252,2012/2013,8/18/12 0:00,HOME_WIN,82,72.33333333,71.75,70.75,80,73
1228238,8528,8455,2012/2013,8/19/12 0:00,AWAY_WIN,85,73.5,80,73.8,84,79
1229196,9879,8668,2012/2013,11/3/12 0:00,DRAW,77,0,78,75.4,81,80
1229197,8650,10261,2012/2013,11/4/12 0:00,DRAW,81.66666667,86,75.5,75.5,79,64
1229198,10260,9825,2012/2013,11/3/12 0:00,HOME_WIN,81.5,88.5,82,81,70,80
1229199,9850,10194,2012/2013,11/3/12 0:00,HOME_WIN,74,73,74.75,73.25,76,75
1229200,10172,9798,2012/2013,11/4/12 0:00,DRAW,69,73,69,73.25,69,82
1229201,8472,10252,2012/2013,11/3/12 0:00,AWAY_WIN,72.66666667,77,71,74,75,76
1229202,10003,8455,2012/2013,11/3/12 0:00,DRAW,80,75.5,80.2,68.25,84,72
1229204,8586,8528,2012/2013,11/3/12 0:00,AWAY_WIN,75,81,74.2,77.8,79,80
1229205,8659,8466,2012/2013,11/5/12 0:00,HOME_WIN,74.5,76.5,71.2,71,62,78
1229206,8654,8456,2012/2013,11/3/12 0:00,DRAW,84.33333333,74,80.25,70.75,84,73
1229208,9825,9879,2012/2013,11/10/12 0:00,DRAW,0,81.33333333,75.4,80,80,70
1229209,10252,10260,2012/2013,11/10/12 0:00,AWAY_WIN,88.5,72.66666667,81.33333333,70,80,75
1229210,8455,8650,2012/2013,11/11/12 0:00,DRAW,86,85,75.2,78.6,64,84
1229211,8668,8472,2012/2013,11/10/12 0:00,HOME_WIN,77,77,74,78,76,81
1229212,8456,8586,2012/2013,11/11/12 0:00,HOME_WIN,81.5,86.5,77.8,79.4,80,84
1229213,10261,8654,2012/2013,11/11/12 0:00,AWAY_WIN,74,81.66666667,71,73.2,73,79
1229214,9798,9850,2012/2013,11/10/12 0:00,DRAW,73,69,73.25,69,75,72
1229215,8466,10003,2012/2013,11/10/12 0:00,DRAW,75.5,74,68.25,68.8,72,62
1229216,10194,10172,2012/2013,11/10/12 0:00,HOME_WIN,79,74,73.25,74.75,82,76
1229217,8528,8659,2012/2013,11/10/12 0:00,AWAY_WIN,74.5,75,71,74.2,73,79
1229218,9825,8586,2012/2013,11/17/12 0:00,HOME_WIN,81.5,81.33333333,77.6,81.75,86,80
1229219,9879,8472,2012/2013,11/18/12 0:00,AWAY_WIN,77,0,73.4,76.5,76,80
1229220,8650,8528,2012/2013,11/17/12 0:00,HOME_WIN,75,86,74.2,76.2,79,83
1229221,8456,10252,2012/2013,11/17/12 0:00,HOME_WIN,72.66666667,86.5,70,80,75,84
1229222,10261,10003,2012/2013,11/17/12 0:00,AWAY_WIN,75.33333333,75.66666667,68.25,74.66666667,72,79
1229223,9850,10260,2012/2013,11/17/12 0:00,HOME_WIN,85,73,81.33333333,73.25,78,75
1229224,10172,8466,2012/2013,11/17/12 0:00,AWAY_WIN,74,79,68.8,73.25,62,82
1229226,9798,8668,2012/2013,11/17/12 0:00,HOME_WIN,76.5,69.66666667,78,69,81,72
1229227,8659,8455,2012/2013,11/17/12 0:00,HOME_WIN,79.33333333,76.5,77,70.5,84,73
1229228,8654,10194,2012/2013,11/19/12 0:00,DRAW,74,74.66666667,74.75,71,76,73
1229229,10252,9825,2012/2013,11/24/12 0:00,DRAW,81,72.33333333,77.5,71.25,80,76
1229230,8455,8456,2012/2013,11/25/12 0:00,DRAW,85.5,83,79.75,80.2,84,84
1229231,8668,9850,2012/2013,11/24/12 0:00,DRAW,74.5,75,72.25,77,78,81
1229232,10260,10172,2012/2013,11/24/12 0:00,HOME_WIN,74,88,73,81,83,78
1229233,8466,10261,2012/2013,11/25/12 0:00,HOME_WIN,82,74,74.66666667,72.2,79,65
1229234,10194,9879,2012/2013,11/24/12 0:00,HOME_WIN,79,73,74.2,72.5,79,79
1229235,8472,8659,2012/2013,11/24/12 0:00,AWAY_WIN,74.5,77,71.25,73,73,76
1229236,10003,8650,2012/2013,11/25/12 0:00,DRAW,85,77,80.75,73.25,83,72
1229237,8586,8654,2012/2013,11/25/12 0:00,HOME_WIN,74,81.5,71.5,78.8,72,85
1229238,8528,9798,2012/2013,11/24/12 0:00,HOME_WIN,70.66666667,78,68.66666667,73.4,72,79
1229239,10252,9798,2012/2013,11/27/12 0:00,HOME_WIN,70.66666667,72.33333333,69,69.25,72,76
1229240,10260,8654,2012/2013,11/28/12 0:00,HOME_WIN,73.5,86,71.8,79.33333333,72,78
1229241,8466,9850,2012/2013,11/28/12 0:00,DRAW,74.5,74,72.25,72.2,70,65
1229242,10194,10261,2012/2013,11/28/12 0:00,HOME_WIN,82,73,76.33333333,72.5,79,79
1229243,8472,10172,2012/2013,11/27/12 0:00,DRAW,74,77,73.25,72,83,76
1229244,10003,8659,2012/2013,11/28/12 0:00,HOME_WIN,74,76.33333333,71.25,73.25,73,72
1229245,8586,8650,2012/2013,11/28/12 0:00,HOME_WIN,85,81.5,80.75,79.2,83,85
1229246,8528,8456,2012/2013,11/28/12 0:00,AWAY_WIN,85,75,80.33333333,73,84,79
