,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating
567,838656,9993,9985,2010/2011,2010-11-13 00:00:00,AWAY_WIN,70.6666666667,69.0,68.25,64.0
568,838657,10000,8571,2010/2011,2010-11-14 00:00:00,DRAW,65.0,66.0,60.0,65.5
569,838658,9986,10001,2010/2011,2010-11-13 00:00:00,AWAY_WIN,67.3333333333,0.0,64.6666666667,61.0
571,838661,6351,8203,2010/2011,2011-01-18 00:00:00,AWAY_WIN,63.5,63.0,65.0,61.25
572,838664,8342,9984,2010/2011,2010-11-21 00:00:00,AWAY_WIN,65.0,71.0,65.25,69.0
573,838665,9991,10001,2010/2011,2010-11-20 00:00:00,DRAW,67.3333333333,68.5,64.6666666667,66.0
574,838667,9993,8635,2010/2011,2010-11-20 00:00:00,AWAY_WIN,73.5,66.5,69.0,64.0
575,838669,10000,9985,2010/2011,2010-11-21 00:00:00,HOME_WIN,68.5,66.3333333333,63.8,64.3333333333
576,838671,9986,9987,2010/2011,2010-11-20 00:00:00,AWAY_WIN,69.25,63.0,67.0,59.5
577,838673,9994,8203,2010/2011,2010-11-20 00:00:00,HOME_WIN,66.3333333333,67.0,64.6,62.6
578,838675,9989,9997,2010/2011,2010-11-20 00:00:00,AWAY_WIN,0.0,68.0,63.5,63.75
579,838676,6351,8571,2010/2011,2010-11-20 00:00:00,HOME_WIN,65.0,64.0,60.0,60.5
582,838680,9987,9991,2010/2011,2010-11-26 00:00:00,AWAY_WIN,69.5,71.3333333333,66.6666666667,66.75
583,838681,9997,8342,2010/2011,2010-11-28 00:00:00,HOME_WIN,69.0,60.0,68.0,63.0
584,838684,8571,9994,2010/2011,2011-01-18 00:00:00,DRAW,68.0,65.0,63.75,62.0
585,838686,8203,10000,2010/2011,2010-11-28 00:00:00,DRAW,67.3333333333,65.0,64.3333333333,64.0
586,838688,10001,6351,2010/2011,2010-11-27 00:00:00,DRAW,63.0,66.6666666667,60.5,63.5
587,838689,9984,9993,2010/2011,2010-11-27 00:00:00,DRAW,66.5,66.0,62.25,65.3333333333
588,838692,8342,10001,2010/2011,2010-12-05 00:00:00,HOME_WIN,66.6666666667,68.0,63.6666666667,69.3333333333
589,838694,9993,9987,2010/2011,2010-12-05 00:00:00,AWAY_WIN,71.3333333333,68.0,66.75,62.25
590,838695,9997,8571,2010/2011,2010-12-04 00:00:00,HOME_WIN,65.0,60.0,62.0,63.4
591,838696,10000,8635,2010/2011,2010-12-05 00:00:00,AWAY_WIN,74.0,66.5,72.3333333333,64.5
593,838699,9994,9985,2010/2011,2010-12-03 00:00:00,HOME_WIN,68.6666666667,68.0,69.5,65.0
595,838702,6351,9991,2010/2011,2010-12-04 00:00:00,AWAY_WIN,69.5,63.0,67.5,60.5
596,838707,8635,9994,2010/2011,2010-12-12 00:00:00,DRAW,68.0,73.0,65.0,69.3333333333
597,838709,9985,9997,2010/2011,2010-12-11 00:00:00,HOME_WIN,0.0,69.0,63.4,69.5
599,838712,9987,6351,2010/2011,2010-12-11 00:00:00,HOME_WIN,63.0,71.3333333333,60.5,66.75
601,838714,8203,8342,2010/2011,2010-12-10 00:00:00,AWAY_WIN,68.0,66.5,68.0,64.8
602,838716,10001,9993,2010/2011,2010-12-11 00:00:00,DRAW,64.5,66.6666666667,62.8,63.6666666667
603,838718,9984,10000,2010/2011,2010-12-11 00:00:00,AWAY_WIN,68.5,65.6666666667,64.3333333333,65.5
604,838478,8342,9997,2010/2011,2010-08-07 00:00:00,HOME_WIN,60.0,71.0,64.0,69.75
606,838481,9993,9984,2010/2011,2010-08-08 00:00:00,DRAW,65.0,63.0,64.75,64.2
607,838482,10000,8203,2010/2011,2010-08-07 00:00:00,AWAY_WIN,66.3333333333,66.3333333333,64.6,64.5
611,838489,6351,10001,2010/2011,2010-08-07 00:00:00,AWAY_WIN,64.0,62.0,64.5,59.4
612,838720,8342,8635,2010/2011,2010-12-19 00:00:00,AWAY_WIN,73.0,68.0,73.0,68.0
613,838721,9993,9991,2010/2011,2011-02-16 00:00:00,DRAW,69.0,66.5,69.0,63.25
614,838723,9997,8203,2010/2011,2011-02-23 00:00:00,AWAY_WIN,63.5,60.0,64.6,63.3333333333
615,838725,10000,10001,2010/2011,2010-12-18 00:00:00,HOME_WIN,67.0,67.3333333333,63.5,64.3333333333
616,838727,9994,9984,2010/2011,2011-02-02 00:00:00,HOME_WIN,64.5,68.0,65.5,64.25
617,838728,8571,9985,2010/2011,2010-12-17 00:00:00,HOME_WIN,69.0,66.0,69.5,65.3333333333
619,838732,6351,9986,2010/2011,2010-12-18 00:00:00,HOME_WIN,62.0,66.0,63.5,60.5
621,838734,9991,8342,2010/2011,2010-12-26 00:00:00,AWAY_WIN,69.0,69.0,68.3333333333,66.6666666667
622,838735,9987,9997,2010/2011,2011-02-02 00:00:00,DRAW,60.0,71.0,64.25,65.25
625,838739,6351,10000,2010/2011,2011-02-02 00:00:00,AWAY_WIN,67.3333333333,61.5,64.5,60.5
626,838741,10001,9994,2010/2011,2011-02-16 00:00:00,AWAY_WIN,68.0,68.5,63.5,62.3333333333
627,838742,9984,9985,2010/2011,2010-12-26 00:00:00,HOME_WIN,66.3333333333,66.5,69.25,65.5
629,838748,9985,8203,2010/2011,2011-02-26 00:00:00,HOME_WIN,63.5,69.0,64.6,69.5
630,838750,9993,6351,2010/2011,2010-12-29 00:00:00,DRAW,61.5,64.5,60.5,63.0
631,838752,9997,9984,2010/2011,2011-02-27 00:00:00,AWAY_WIN,65.0,60.0,65.5,63.4
632,838753,10000,9991,2010/2011,2010-12-30 00:00:00,DRAW,69.0,66.3333333333,67.5,64.5
633,838754,9994,9987,2010/2011,2010-12-30 00:00:00,DRAW,71.0,68.0,67.25,64.75
634,838755,8571,8635,2010/2011,2010-12-29 00:00:00,AWAY_WIN,74.0,65.0,72.3333333333,62.0
636,838759,8635,9985,2010/2011,2011-01-23 00:00:00,HOME_WIN,71.0,73.0,70.2,72.3333333333
637,838761,9991,9994,2010/2011,2011-01-23 00:00:00,HOME_WIN,0.0,70.0,63.75,67.5
638,838764,9987,8571,2010/2011,2011-01-22 00:00:00,HOME_WIN,65.0,71.0,62.0,67.25
639,838765,9993,10000,2010/2011,2011-01-22 00:00:00,HOME_WIN,68.5,64.5,64.3333333333,62.5
640,838767,9986,8203,2010/2011,2011-01-22 00:00:00,DRAW,63.5,63.0,65.0,63.0
641,838768,6351,8342,2010/2011,2011-01-21 00:00:00,AWAY_WIN,69.0,66.0,68.2,60.5
642,838770,10001,9997,2010/2011,2011-01-22 00:00:00,HOME_WIN,63.0,66.6666666667,63.5,64.0
643,838772,9984,9989,2010/2011,2011-01-22 00:00:00,HOME_WIN,67.25,64.5,61.6666666667,65.5
644,838773,8342,9993,2010/2011,2011-01-29 00:00:00,HOME_WIN,65.5,69.0,62.6666666667,67.2
645,838774,9985,10001,2010/2011,2011-01-29 00:00:00,HOME_WIN,66.6666666667,72.0,63.0,69.3333333333
646,838775,9997,9991,2010/2011,2011-01-30 00:00:00,DRAW,69.0,63.0,69.0,63.4
647,838777,10000,9987,2010/2011,2011-01-28 00:00:00,AWAY_WIN,71.0,65.0,65.25,64.5
648,838778,9994,6351,2010/2011,2011-01-29 00:00:00,AWAY_WIN,66.0,68.0,62.0,63.75
649,838780,8571,9984,2010/2011,2011-01-29 00:00:00,HOME_WIN,64.0,64.0,65.5,64.25
651,838783,9989,9986,2010/2011,2011-01-29 00:00:00,HOME_WIN,63.0,67.25,63.0,62.6666666667
652,838789,8635,9997,2010/2011,2011-02-05 00:00:00,HOME_WIN,63.0,74.0,63.4,72.3333333333
653,838790,9991,9989,2010/2011,2011-02-04 00:00:00,HOME_WIN,67.3333333333,67.5,62.6666666667,65.0
654,838791,9987,8342,2010/2011,2011-02-06 00:00:00,HOME_WIN,0.0,71.0,68.2,65.25
655,838792,9993,9994,2010/2011,2011-02-06 00:00:00,DRAW,68.0,68.0,64.25,62.8
656,838794,9986,10000,2010/2011,2011-02-05 00:00:00,HOME_WIN,67.3333333333,63.0,64.5,63.0
657,838796,6351,9985,2010/2011,2011-02-06 00:00:00,AWAY_WIN,72.0,66.5,69.3333333333,62.75
658,838798,10001,8571,2010/2011,2011-02-05 00:00:00,HOME_WIN,64.0,66.0,64.25,62.6666666667
659,838800,9984,8203,2010/2011,2011-02-05 00:00:00,AWAY_WIN,66.0,65.6666666667,64.2,65.5
660,838802,8342,10000,2010/2011,2011-02-12 00:00:00,HOME_WIN,68.5,68.0,64.5,67.6
661,838804,8635,9984,2010/2011,2011-02-12 00:00:00,HOME_WIN,66.0,71.0,65.25,72.3333333333
662,838806,9985,9987,2010/2011,2011-02-13 00:00:00,AWAY_WIN,69.0,74.0,66.75,69.5
663,838808,9997,6351,2010/2011,2011-02-12 00:00:00,DRAW,66.5,63.0,61.6666666667,63.0
664,838809,9994,9986,2010/2011,2011-02-12 00:00:00,DRAW,63.0,66.0,63.0,63.75
