,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Goalkeeper_rating,home_Goalkeeper_rating
495,665370,8635,9991,2009/2010,2009-09-20 00:00:00,DRAW,71.0,71.0
497,665374,9984,9993,2009/2010,2009-09-19 00:00:00,AWAY_WIN,64.0,62.0
498,665376,9994,9985,2009/2010,2009-09-19 00:00:00,AWAY_WIN,70.0,73.0
501,665380,10001,8342,2009/2010,2009-09-20 00:00:00,AWAY_WIN,73.0,67.0
502,665384,8342,10000,2009/2010,2009-09-23 00:00:00,HOME_WIN,67.0,73.0
503,665385,9985,9984,2009/2010,2009-09-23 00:00:00,DRAW,62.0,70.0
508,665393,9993,8571,2009/2010,2009-09-23 00:00:00,HOME_WIN,64.0,64.0
509,665396,8635,9993,2009/2010,2009-09-27 00:00:00,HOME_WIN,64.0,71.0
512,665402,9984,8203,2009/2010,2009-09-28 00:00:00,HOME_WIN,70.0,62.0
514,665405,8571,9985,2009/2010,2009-09-26 00:00:00,AWAY_WIN,70.0,64.0
517,838468,8571,8342,2010/2011,2010-07-31 00:00:00,HOME_WIN,73.0,68.0
520,838473,8635,6351,2010/2011,2010-07-31 00:00:00,HOME_WIN,60.0,72.0
523,838476,9987,9993,2010/2011,2010-08-01 00:00:00,HOME_WIN,66.0,60.0
524,838581,8342,9991,2010/2011,2010-10-03 00:00:00,HOME_WIN,71.0,54.0
525,838582,9985,8635,2010/2011,2010-10-03 00:00:00,HOME_WIN,72.0,69.0
528,838585,9994,9993,2010/2011,2010-10-02 00:00:00,HOME_WIN,62.0,72.0
529,838586,8571,6351,2010/2011,2010-10-02 00:00:00,HOME_WIN,64.0,68.0
530,838587,8203,9987,2010/2011,2010-10-01 00:00:00,DRAW,60.0,69.0
531,838588,9989,9984,2010/2011,2010-10-02 00:00:00,AWAY_WIN,65.0,70.0
532,838590,9991,8571,2010/2011,2010-10-16 00:00:00,HOME_WIN,68.0,71.0
533,838591,9987,9985,2010/2011,2010-10-17 00:00:00,HOME_WIN,69.0,60.0
534,838593,9993,9989,2010/2011,2010-10-16 00:00:00,DRAW,65.0,62.0
535,838594,10000,8342,2010/2011,2010-10-15 00:00:00,AWAY_WIN,65.0,69.0
537,838596,6351,9997,2010/2011,2010-10-16 00:00:00,HOME_WIN,68.0,60.0
538,838597,10001,8203,2010/2011,2010-10-16 00:00:00,DRAW,69.0,68.0
539,838598,9984,8635,2010/2011,2010-10-17 00:00:00,HOME_WIN,72.0,65.0
540,838599,8635,10001,2010/2011,2010-10-24 00:00:00,HOME_WIN,63.0,72.0
541,838600,9985,9991,2010/2011,2010-10-24 00:00:00,HOME_WIN,71.0,63.0
543,838603,9994,8342,2010/2011,2010-10-24 00:00:00,HOME_WIN,65.0,72.0
544,838604,8571,9987,2010/2011,2010-10-22 00:00:00,HOME_WIN,60.0,68.0
545,838605,8203,9993,2010/2011,2010-10-23 00:00:00,HOME_WIN,62.0,69.0
546,838606,9989,10000,2010/2011,2010-10-23 00:00:00,DRAW,69.0,65.0
547,838607,9984,6351,2010/2011,2010-10-23 00:00:00,HOME_WIN,60.0,65.0
548,838621,8342,9985,2010/2011,2010-10-31 00:00:00,DRAW,69.0,65.0
549,838622,9991,8203,2010/2011,2010-10-30 00:00:00,HOME_WIN,69.0,71.0
550,838623,9987,8635,2010/2011,2010-10-31 00:00:00,AWAY_WIN,72.0,60.0
552,838625,10000,9994,2010/2011,2010-10-30 00:00:00,DRAW,63.0,69.0
555,838632,10001,9984,2010/2011,2010-10-30 00:00:00,HOME_WIN,65.0,68.0
556,838635,8635,8342,2010/2011,2010-11-07 00:00:00,DRAW,65.0,72.0
557,838636,9985,6351,2010/2011,2010-11-06 00:00:00,AWAY_WIN,60.0,63.0
558,838639,9997,10000,2010/2011,2010-11-06 00:00:00,AWAY_WIN,69.0,59.0
559,838640,8571,9993,2010/2011,2010-11-06 00:00:00,HOME_WIN,62.0,68.0
562,838644,10001,9987,2010/2011,2010-11-05 00:00:00,DRAW,60.0,68.0
563,838646,9984,9991,2010/2011,2010-11-07 00:00:00,AWAY_WIN,71.0,65.0
564,838651,8342,9989,2010/2011,2010-11-13 00:00:00,HOME_WIN,70.0,73.0
565,838652,9991,8635,2010/2011,2010-11-14 00:00:00,AWAY_WIN,72.0,71.0
566,838654,9987,9984,2010/2011,2010-11-13 00:00:00,HOME_WIN,65.0,60.0
567,838656,9993,9985,2010/2011,2010-11-13 00:00:00,AWAY_WIN,63.0,62.0
568,838657,10000,8571,2010/2011,2010-11-14 00:00:00,DRAW,58.0,69.0
569,838658,9986,10001,2010/2011,2010-11-13 00:00:00,AWAY_WIN,68.0,58.0
571,838661,6351,8203,2010/2011,2011-01-18 00:00:00,AWAY_WIN,69.0,64.0
572,838664,8342,9984,2010/2011,2010-11-21 00:00:00,AWAY_WIN,65.0,73.0
573,838665,9991,10001,2010/2011,2010-11-20 00:00:00,DRAW,68.0,71.0
574,838667,9993,8635,2010/2011,2010-11-20 00:00:00,AWAY_WIN,72.0,62.0
575,838669,10000,9985,2010/2011,2010-11-21 00:00:00,HOME_WIN,63.0,69.0
576,838671,9986,9987,2010/2011,2010-11-20 00:00:00,AWAY_WIN,60.0,58.0
577,838673,9994,8203,2010/2011,2010-11-20 00:00:00,HOME_WIN,69.0,63.0
578,838675,9989,9997,2010/2011,2010-11-20 00:00:00,AWAY_WIN,49.0,70.0
579,838676,6351,8571,2010/2011,2010-11-20 00:00:00,HOME_WIN,58.0,60.0
582,838680,9987,9991,2010/2011,2010-11-26 00:00:00,AWAY_WIN,72.0,68.0
583,838681,9997,8342,2010/2011,2010-11-28 00:00:00,HOME_WIN,72.0,55.0
584,838684,8571,9994,2010/2011,2011-01-18 00:00:00,DRAW,72.0,68.0
585,838686,8203,10000,2010/2011,2010-11-28 00:00:00,DRAW,69.0,69.0
586,838688,10001,6351,2010/2011,2010-11-27 00:00:00,DRAW,64.0,68.0
587,838689,9984,9993,2010/2011,2010-11-27 00:00:00,DRAW,64.0,65.0
588,838692,8342,10001,2010/2011,2010-12-05 00:00:00,HOME_WIN,68.0,72.0
589,838694,9993,9987,2010/2011,2010-12-05 00:00:00,AWAY_WIN,68.0,64.0
590,838695,9997,8571,2010/2011,2010-12-04 00:00:00,HOME_WIN,68.0,55.0
591,838696,10000,8635,2010/2011,2010-12-05 00:00:00,AWAY_WIN,72.0,69.0
593,838699,9994,9985,2010/2011,2010-12-03 00:00:00,HOME_WIN,64.0,63.0
595,838702,6351,9991,2010/2011,2010-12-04 00:00:00,AWAY_WIN,72.0,64.0
596,838707,8635,9994,2010/2011,2010-12-12 00:00:00,DRAW,72.0,72.0
597,838709,9985,9997,2010/2011,2010-12-11 00:00:00,HOME_WIN,55.0,64.0
599,838712,9987,6351,2010/2011,2010-12-11 00:00:00,HOME_WIN,64.0,68.0
601,838714,8203,8342,2010/2011,2010-12-10 00:00:00,AWAY_WIN,72.0,69.0
602,838716,10001,9993,2010/2011,2010-12-11 00:00:00,DRAW,64.0,68.0
603,838718,9984,10000,2010/2011,2010-12-11 00:00:00,AWAY_WIN,69.0,65.0
604,838478,8342,9997,2010/2011,2010-08-07 00:00:00,HOME_WIN,68.0,73.0
606,838481,9993,9984,2010/2011,2010-08-08 00:00:00,DRAW,65.0,66.0
607,838482,10000,8203,2010/2011,2010-08-07 00:00:00,AWAY_WIN,69.0,69.0
611,838489,6351,10001,2010/2011,2010-08-07 00:00:00,AWAY_WIN,68.0,64.0
612,838720,8342,8635,2010/2011,2010-12-19 00:00:00,AWAY_WIN,72.0,72.0
613,838721,9993,9991,2010/2011,2011-02-16 00:00:00,DRAW,72.0,64.0
614,838723,9997,8203,2010/2011,2011-02-23 00:00:00,AWAY_WIN,69.0,59.0
615,838725,10000,10001,2010/2011,2010-12-18 00:00:00,HOME_WIN,68.0,69.0
616,838727,9994,9984,2010/2011,2011-02-02 00:00:00,HOME_WIN,65.0,72.0
617,838728,8571,9985,2010/2011,2010-12-17 00:00:00,HOME_WIN,64.0,68.0
619,838732,6351,9986,2010/2011,2010-12-18 00:00:00,HOME_WIN,58.0,64.0
621,838734,9991,8342,2010/2011,2010-12-26 00:00:00,AWAY_WIN,64.0,72.0
622,838735,9987,9997,2010/2011,2011-02-02 00:00:00,DRAW,59.0,68.0
625,838739,6351,10000,2010/2011,2011-02-02 00:00:00,AWAY_WIN,69.0,64.0
626,838741,10001,9994,2010/2011,2011-02-16 00:00:00,AWAY_WIN,63.0,68.0
627,838742,9984,9985,2010/2011,2010-12-26 00:00:00,HOME_WIN,64.0,65.0
629,838748,9985,8203,2010/2011,2011-02-26 00:00:00,HOME_WIN,69.0,64.0
630,838750,9993,6351,2010/2011,2010-12-29 00:00:00,DRAW,64.0,64.0
631,838752,9997,9984,2010/2011,2011-02-27 00:00:00,AWAY_WIN,62.0,59.0
632,838753,10000,9991,2010/2011,2010-12-30 00:00:00,DRAW,72.0,69.0
633,838754,9994,9987,2010/2011,2010-12-30 00:00:00,DRAW,68.0,72.0
