trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.7, 'e': 0.024559052679419064}",20,9,21.079129841173486,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.7, 'e': 0.024142156390797566}",25,20,11.747974861746984,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.023734196720165305}",20,9,17.648896293102005,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.023334934380292074}",30,12,16.786037079713886,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.02294413794813479}",30,13,25.559570030342385,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.022561583554035092}",25,15,18.124908244032603,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 0.02218705458538905}",25,13,15.484519454463559,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 0.021820341404009933}",20,13,13.702505622670575,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 0.0214612410764524}",30,16,23.352814962633975,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.02110955711661105}",20,8,16.044958156311104,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.02076509923994778}",30,15,23.982334748539053,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.020427683128740656}",30,16,29.94265674150077,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.020097130207783715}",20,0,33.33565134163588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.7, 'e': 0.019773267429999988}",25,9,19.30269976378746,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.7, 'e': 0.019455927071461883}",20,4,29.337714584704813,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.019144946535342443}",20,8,16.535101816020905,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.01884016816434816}",25,13,26.15524267666824,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 0.018541439061209912}",20,16,7.932688302048376,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.01824861091683269}",25,20,11.134236476860021,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.01796153984572685}",35,14,36.23101882821234,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 0.017680086228365293}",30,12,34.33080310456574,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 0.01740411456013037}",20,5,26.90087389261623,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.01713349330653271}",30,19,-22.21906669539031,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.7, 'e': 0.016868094764402035}",20,10,20.393934142813464,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.01660779492876592}",30,24,10.839006018673265,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.7, 'e': 0.01635247336514781}",25,18,12.527027179317052,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.016102013087030353}",20,12,17.26602808401274,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.01585630043824315}",20,6,19.66790676253074,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 0.015615224980047152}",30,15,22.80306420592327,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.7, 'e': 0.015378679382699713}",20,15,10.17755162269626,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.01514655932129552}",30,16,3.6777047929829454,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.0149187633756894}",25,4,34.70426903623094,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.7, 'e': 0.014695192934316939}",20,2,34.17363308479515,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.01447575210173816}",25,4,39.548094991143024,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 0.014260347609738438}",30,16,7.2337830860161105,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.014048888731829383}",25,11,-16.57423008281416,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.7, 'e': 0.01384128720099999}",25,13,22.975729370178453,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 0.013637457130576056}",20,15,5.313452141590212,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.7, 'e': 0.013437314938052865}",25,9,30.466840510328808,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 0.013240779271772685}",20,8,19.616161872569275,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 0.013047770940325014}",30,24,13.531614080433823,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 0.012858212844553409}",30,15,25.82589950870299,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.7, 'e': 0.012672029912058343}",25,14,18.79479100664968,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.012489149034090844}",30,21,17.040911573902278,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 0.012309499004736714}",35,20,20.519571918727287,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.7, 'e': 0.012133010462295835}",30,4,40.874930997706656,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.0119596158327657}",25,8,30.275888967044512,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 0.011789249275342391}",25,5,12.571470887194087,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.011621846629856379}",25,4,35.45128237379382,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.7, 'e': 0.01145734536606439}",20,15,5.675269054750565,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 0.011295684534722098}",25,2,30.01056387624884,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.011136804720365977}",30,24,9.296290050843227,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 0.010980647995735749}",25,0,36.19837492110971,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.7, 'e': 0.010827157877772213}",30,12,28.48342909150246,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.010676279285127883}",25,15,14.123039026760345,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.7, 'e': 0.010527958497130976}",20,1,32.49729585789341,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.010382143114145648}",30,18,15.136616456267662,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 0.010238782019274154}",25,16,18.256477711915746,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 0.010097825341348829}",20,5,27.25760928012589,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.7, 'e': 0.009959224419164161}",20,6,24.995198488372633,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,8,27.53458356607316,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,14,21.262289874807315,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,1,30.360693284366555,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,13.786107877886245,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,21.780082927694593,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,14,21.991658946959433,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,8.092483124082726,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,15,22.30014161092524,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,23.855078226574783,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,13,11.663307526218034,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
